feature,source,term,idf
title__cửa_sổ,title,cửa_sổ,8.409590610909994
title__vững,title,vững,8.409590610909994
title__u20,title,u20,8.409590610909994
title__ngoại,title,ngoại,8.409590610909994
content__prep,content,prep,8.409590610909994
title__giải vô_địch,title,giải vô_địch,8.186447059595785
title__girl,title,girl,8.186447059595785
title__giành giải,title,giành giải,8.186447059595785
title__giành siêu_cúp,title,giành siêu_cúp,8.186447059595785
title__thử_thách,title,thử_thách,8.186447059595785
title__thừa_kế,title,thừa_kế,8.186447059595785
title__giám_đốc công_ty,title,giám_đốc công_ty,8.186447059595785
title__giám_đốc sở,title,giám_đốc sở,8.186447059595785
title__thủ_đô washington,title,thủ_đô washington,8.186447059595785
title__giơ,title,giơ,8.186447059595785
title__gươm,title,gươm,8.186447059595785
title__thủ_phạm,title,thủ_phạm,8.186447059595785
title__thực_tế,title,thực_tế,8.186447059595785
title__giải_u21 thế_giới,title,giải_u21 thế_giới,8.186447059595785
title__xả,title,xả,8.186447059595785
title__giật,title,giật,8.186447059595785
title__thỏa,title,thỏa,8.186447059595785
title__giới_tính,title,giới_tính,8.186447059595785
title__gym,title,gym,8.186447059595785
title__gái chung_cư,title,gái chung_cư,8.186447059595785
title__gái kém,title,gái kém,8.186447059595785
title__xấu_xí,title,xấu_xí,8.186447059595785
title__giải_u21,title,giải_u21,8.186447059595785
title__gia_nhập,title,gia_nhập,8.186447059595785
title__gia_vị,title,gia_vị,8.186447059595785
title__f88,title,f88,8.186447059595785
title__tiếc,title,tiếc,8.186447059595785
title__tiêu_thụ,title,tiêu_thụ,8.186447059595785
title__dữ_liệu cá_nhân,title,dữ_liệu cá_nhân,8.186447059595785
title__dự_báo thời_tiết,title,dự_báo thời_tiết,8.186447059595785
title__dự_kiến chuẩn,title,dự_kiến chuẩn,8.186447059595785
title__tiên cá,title,tiên cá,8.186447059595785
title__esg việt_nam,title,esg việt_nam,8.186447059595785
title__eu,title,eu,8.186447059595785
title__euro,title,euro,8.186447059595785
title__tinh_vi,title,tinh_vi,8.186447059595785
title__facebook,title,facebook,8.186447059595785
title__góp_mặt,title,góp_mặt,8.186447059595785
title__finance,title,finance,8.186447059595785
title__ga,title,ga,8.186447059595785
title__tinh_giản,title,tinh_giản,8.186447059595785
title__gara,title,gara,8.186447059595785
title__tin_đồn,title,tin_đồn,8.186447059595785
title__georgina,title,georgina,8.186447059595785
title__ghen,title,ghen,8.186447059595785
title__ghi_điểm,title,ghi_điểm,8.186447059595785
title__tim phổi,title,tim phổi,8.186447059595785
title__gia,title,gia,8.186447059595785
title__gòn,title,gòn,8.186447059595785
title__đắng,title,đắng,8.186447059595785
title__dời,title,dời,8.186447059595785
title__điện hạt_nhân,title,điện hạt_nhân,8.186447059595785
title__kh,title,kh,8.186447059595785
title__kh cn,title,kh cn,8.186447059595785
title__đi tù,title,đi tù,8.186447059595785
title__khoáng_sản,title,khoáng_sản,8.186447059595785
title__khu du_lịch,title,khu du_lịch,8.186447059595785
title__điều_hành,title,điều_hành,8.186447059595785
title__khung,title,khung,8.186447059595785
title__khuất,title,khuất,8.186447059595785
title__khám bệnh,title,khám bệnh,8.186447059595785
title__điều_trị ung_thư,title,điều_trị ung_thư,8.186447059595785
title__khánh_thành khởi_công,title,khánh_thành khởi_công,8.186447059595785
title__kenya,title,kenya,8.186447059595785
title__điện_biên,title,điện_biên,8.186447059595785
title__khát_vọng thịnh_vượng,title,khát_vọng thịnh_vượng,8.186447059595785
title__khép,title,khép,8.186447059595785
title__sàn trường,title,sàn trường,8.186447059595785
title__khô,title,khô,8.186447059595785
title__không,title,không,8.186447059595785
title__không_khí,title,không_khí,8.186447059595785
title__khốc_liệt,title,khốc_liệt,8.186447059595785
title__khống_chế,title,khống_chế,8.186447059595785
title__suy_nghĩ,title,suy_nghĩ,8.186447059595785
title__kg ma,title,kg ma,8.186447059595785
title__ivf,title,ivf,8.186447059595785
title__gương_mặt,title,gương_mặt,8.186447059595785
title__zelensky mỹ,title,zelensky mỹ,8.186447059595785
title__gấp đôi,title,gấp đôi,8.186447059595785
title__gặp_gỡ,title,gặp_gỡ,8.186447059595785
title__gửi thư,title,gửi thư,8.186447059595785
title__h30,title,h30,8.186447059595785
title__hai gái,title,hai gái,8.186447059595785
title__y_học,title,y_học,8.186447059595785
title__yên,title,yên,8.186447059595785
title__yến,title,yến,8.186447059595785
title__yếu,title,yếu,8.186447059595785
title__yếu_tố,title,yếu_tố,8.186447059595785
title__áp_đảo,title,áp_đảo,8.186447059595785
title__iskander,title,iskander,8.186447059595785
title__âm_mưu,title,âm_mưu,8.186447059595785
title__âm_thầm,title,âm_thầm,8.186447059595785
title__ép tim,title,ép tim,8.186447059595785
title__ông zelensky,title,ông zelensky,8.186447059595785
title__ý_tưởng,title,ý_tưởng,8.186447059595785
title__đa_khoa,title,đa_khoa,8.186447059595785
title__đe_dọa,title,đe_dọa,8.186447059595785
title__im_lặng,title,im_lặng,8.186447059595785
title__iq,title,iq,8.186447059595785
title__đeo,title,đeo,8.186447059595785
title__xôn_xao,title,xôn_xao,8.186447059595785
title__dẫn_giải,title,dẫn_giải,8.186447059595785
title__dốc,title,dốc,8.186447059595785
title__trôi,title,trôi,8.186447059595785
title__concert quốc_gia,title,concert quốc_gia,8.186447059595785
title__crimea,title,crimea,8.186447059595785
title__crystal palace,title,crystal palace,8.186447059595785
title__trăm nghìn,title,trăm nghìn,8.186447059595785
title__vững_vàng,title,vững_vàng,8.186447059595785
title__trúng_tuyển đại_học,title,trúng_tuyển đại_học,8.186447059595785
title__trúng độc_đắc,title,trúng độc_đắc,8.186447059595785
title__warriors halong,title,warriors halong,8.186447059595785
title__wimbledon,title,wimbledon,8.186447059595785
title__trôi_dạt,title,trôi_dạt,8.186447059595785
title__trình_diễn,title,trình_diễn,8.186447059595785
title__tiếng việt,title,tiếng việt,8.186447059595785
title__còi,title,còi,8.186447059595785
title__trào,title,trào,8.186447059595785
title__truyền_thông,title,truyền_thông,8.186447059595785
title__truy_đuổi,title,truy_đuổi,8.186447059595785
title__truy_tố cựu,title,truy_tố cựu,8.186447059595785
title__world games,title,world games,8.186447059595785
title__truy_sát,title,truy_sát,8.186447059595785
title__công_viettel,title,công_viettel,8.186447059595785
title__công_viên,title,công_viên,8.186447059595785
title__cúp,title,cúp,8.186447059595785
title__trăn,title,trăn,8.186447059595785
title__con_nợ,title,con_nợ,8.186447059595785
title__cn,title,cn,8.186447059595785
title__cmc telecom,title,cmc telecom,8.186447059595785
title__chế_biến,title,chế_biến,8.186447059595785
title__chỉ_điểm,title,chỉ_điểm,8.186447059595785
title__chốt đơn,title,chốt đơn,8.186447059595785
title__chồng cũ,title,chồng cũ,8.186447059595785
title__chồng phú_thọ,title,chồng phú_thọ,8.186447059595785
title__trật_tự,title,trật_tự,8.186447059595785
title__trận thua,title,trận thua,8.186447059595785
title__vụ du_khách,title,vụ du_khách,8.186447059595785
